DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-03-28;14:08:00;VIA E. D`ARBOREA;< x >;VIALE REG. MARGHERITA;Incidente stradale senza feriti;Urto anteriore;2;2;0;0;0;0;0;
2015-03-28;22:42:00;VIA PASTEUR;10;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;0;0;0;0;0;
2015-03-28;19:55:00;VIA FADDA;< x >;VIA GIANTURCO;Incidente stradale con feriti;Precedenza;2;1;1;1;1;0;0;
2015-03-28;18:14:00;0 S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-28;17:39:00;0 S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-28;17:26:00;0 S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-28;14:17:00;VIA VESPUCCI;< x >;VIA FIORELLI;Incidente stradale con feriti;Investimento di pedone;1;0;2;0;1;0;0;
2015-03-29;17:24:00;VIA BERLINO;< x >;VIA LIONE;Incidente stradale con feriti;Tamponamento;2;1;1;1;0;0;0;
2015-03-29;12:13:00;VIALE DIAZ;< x >;VIALE DIAZ;Incidente stradale senza feriti;Cambio di corsia;2;2;0;0;0;0;0;
2015-03-29;07:39:00;VIA TOTI;125;;Incidente stradale senza feriti;Urto con veicolo in sosta;5;0;1;0;0;0;0;
2015-03-29;06:44:00;0 S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-30;21:13:00;VIA FLUMENTEPIDO;;;Danneggiamento;Ramo su auto;1;0;0;0;0;0;0;
2015-03-30;14:57:00;VIA GIOTTO;20;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-30;17:35:00;VIA DANTE;133;;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-03-30;11:45:00;VIA MESSINA;1;;Danneggiamento;Urto con cassonetto;1;1;0;0;0;0;0;
2015-03-30;20:27:00;VIA MONS. PIOVELLA;6;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-30;14:15:00;VIA REDIPUGLIA;< x >;VIA DOBERDO;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-03-30;17:25:00;VIA S.ALENIXEDDA;fr 15;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-30;11:38:00;LARGO DESSI`;< x >;VIA S.SATURNINO;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-03-30;18:41:00;VIA MONS. PIOVELLA;49;;Danneggiamento;Ramo su auto;1;0;0;0;0;0;0;
2015-03-30;14:52:00;VIA BATTISTI;< x >;VIALE TRENTO;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-03-30;17:46:00;VIA CASTIGLIONE;20;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-30;18:55:00;STRADA MARCONI BIS (ARGINALE);;;Danneggiamento;Frontale / laterale;3;0;0;0;0;0;0;
2015-03-30;14:01:00;VIALE TRIESTE;161;;Danneggiamento;Ramo su auto;1;0;0;0;0;0;0;
2015-03-30;16:31:00;VIA NEWTON;;;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-03-30;18:24:00;VIA JENNER;< x >;VIA KOCH;Incidente stradale con feriti;Investimento di pedone;1;0;2;0;1;0;0;
2015-03-30;13:13:00;VIA DALMAZIA;33;;Danneggiamento;Danneggiamento auto in sosta;1;0;1;1;0;0;0;
2015-03-30;16:25:00;PIAZZA MARSIGLIA;5;;Danneggiamento;Ramo su auto;2;0;0;0;0;0;0;
2015-03-30;18:54:00;VIA BACAREDDA;< x >;VIA COCCO ORTU;Danneggiamento;Danneggiamento auto in sosta;2;2;0;0;0;0;0;
2015-03-30;12:55:00;VIA TEMO;2;;Danneggiamento;Danneggiamento auto in sosta;2;0;0;0;0;0;0;
2015-03-30;15:41:00;VIA CARBONI BOI;7;;Danneggiamento;Ramo su auto;1;0;0;0;0;0;0;
2015-03-30;18:17:00;VIALE DIAZ;;;Danneggiamento;Ramo su auto;3;2;1;2;0;0;0;
2015-03-30;12:20:00;VIA XXVIII FEBBRAIO;;VIA SALVEMINI;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-03-31;15:44:00;VIA FLUMENTEPIDO;75;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-31;14:57:00;0 S.S. 195 RAC ( EX CASIC);KM. 1,000;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-31;14:35:00;VIA FLUMENTEPIDO;75;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-31;13:42:00;0 S.S. 195 RAC ( EX CASIC);KM. 1,000;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;0;1;0;0;0;0;
2015-03-31;21:18:00;VIA CAMPANIA;< x >;VIA IS MIRRIONIS;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-31;11:04:00;VIA BACAREDDA;< x >;VIA TEMPIO;Incidente stradale con feriti;Tamponamento;2;1;2;0;1;0;0;
2015-03-31;16:43:00;VIA FLUMENTEPIDO;22;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-31;00:18:00;VIA PACINOTTI;;;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-03-31;15:47:00;VIALE DIAZ;< x >;VIA MESSINA;Danneggiamento;Urto con cassonetto;1;1;0;0;0;0;0;
