DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-01-25;19:21:00;VIA ANFITEATRO;inizio;;Incidente stradale con feriti;Investimento di pedone;1;1;1;0;1;0;0;
2015-01-25;18:38:00;PIAZZA GIOVANNI XXIII;alt BNL;;Incidente stradale senza feriti;Manovra di retromarcia;2;1;1;0;0;0;0;
2015-01-25;14:27:00;VIA S.FERMO;2;;Incidente stradale senza feriti;Frontale / laterale;2;0;2;0;0;0;0;
2015-01-26;14:05:00;VIA MEDAGLIE D`ORO;< x >;PIAZZA GIOVANNI XXIII;Incidente stradale senza feriti;Frontale / laterale;2;0;2;0;0;0;0;
2015-01-26;08:58:00;VIA DARWIN;sn;VIA FLEMING;Incidente stradale senza feriti;Urto laterale;2;1;0;0;0;0;0;
2015-01-27;11:53:00;PIAZZA S.AVENDRACE;0;VIA S.MICHELE;Incidente stradale con feriti;Frontale / laterale;2;2;0;0;1;0;0;
2015-01-27;20:59:00;VIA COCCO ORTU;< x >;VIA LAI;Incidente stradale con feriti;Frontale / laterale;2;1;1;1;0;0;0;
2015-01-27;20:06:00;VIA DELLA PINETA;< x >;VIA LUCCA;Incidente stradale con feriti;Frontale / laterale;2;2;0;1;0;0;0;
2015-01-27;17:38:00;VIA DELL` ABBAZIA;< x >;VIA NIZZA;Incidente stradale senza feriti;Urto anteriore;2;0;2;0;0;0;0;
2015-01-28;14:29:00;VIA RIVA DI PONENTE;12;;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-01-28;10:54:00;VIA GHERARDO DELLE NOTTI;;VIALE MONASTIR;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0;
2015-01-28;08:37:00;VIA DANTE;208;VIA TASSO;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-01-28;21:33:00;VIA NURAGHI;< x >;VIA CILLOCCO;Incidente stradale senza feriti;Frontale / laterale;5;2;0;0;0;0;0;
2015-01-29;14:51:00;VIA ITALIA;;VIA PISANO;Incidente stradale con feriti;Tamponamento;2;0;2;1;0;0;0;
2015-01-30;11:15:00;VIA PERGOLESI;26;;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-01-30;10:48:00;PIAZZA DE ESQUIVEL;8;;Danneggiamento;Urto con cassonetto;3;0;0;0;0;0;0;
2015-01-30;10:40:00;VIA DANTE;87;;Danneggiamento;Urto con cassonetto;1;1;0;0;0;0;0;
2015-01-30;08:07:00;VIALE MONASTIR;229;;Incidente stradale con feriti;Svolta a sinistra irregolare;2;1;1;2;0;0;0;
2015-01-30;07:21:00;VIA TUVERI;22;;Incidente stradale senza feriti;Urto laterale;3;2;1;0;0;0;0;
2015-01-30;14:47:00;VIA DE GIOANNIS;;VIA LORU;Incidente stradale con feriti;Frontale / laterale;2;2;1;0;1;0;0;
2015-01-30;11:34:00;VIA LANUSEI;65;;Danneggiamento;Urto con cassonetto;4;0;0;0;0;0;0;
2015-01-31;12:49:00;VIA LANUSEI;12;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-01-31;02:42:00;VIA DANTE;< x >;VIA FARINA;Incidente stradale con feriti;Semaforo rosso;2;1;1;1;0;0;0;
2015-01-31;00:25:00;VIALE GUGLIELMO MARCONI;< x >;VIA MERCALLI;Incidente stradale con feriti;Tamponamento;2;1;1;0;1;0;0;
2015-02-01;01:32:00;PIAZZA S.BENEDETTO;;VIA DANTE;Incidente stradale con feriti;Frontale / laterale;2;1;2;2;0;0;0;
2015-02-01;15:44:00;VIA CORSICA;< x >;VIA CURIE;Incidente stradale con feriti;Frontale / laterale;2;2;0;2;0;0;0;
2015-02-01;04:10:00; S.S. 195 ;< x >;PONTE SCAFFA;Incidente stradale con feriti;Uscita x sbandamento;1;1;0;0;1;0;0;
